subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
26,1,7,1,NA,NA,0,12,34,20,55,180,4,20
26,2,3,1,0.584,4.835,0,12,34,20,55,180,6,20
26,3,6,1,NA,NA,0,12,34,20,55,180,1,20
26,4,6,1,NA,NA,0,12,34,20,55,180,nan,20
26,5,2,1,0.484,15.434,0,12,34,20,55,180,nan,20
26,6,6,1,NA,NA,0,12,34,20,55,90,nan,20
26,7,6,1,NA,NA,0,12,34,20,55,180,nan,20
26,8,8,1,NA,NA,0,12,34,20,55,180,nan,20
26,9,8,1,NA,NA,0,12,34,20,55,90,nan,20
26,10,4,1,0.484,30.265,0,12,34,20,55,180,nan,20
26,11,8,1,NA,NA,0,12,34,20,55,90,2,20
26,12,6,1,NA,NA,0,12,34,20,55,180,6,20
26,13,2,1,0.567,39.547,0,12,34,20,55,90,8,20
26,14,6,1,NA,NA,0,12,34,20,55,90,nan,20
26,15,2,1,0.534,43.647,0,12,34,20,55,90,7,20
26,16,8,1,NA,NA,0,12,34,20,55,180,nan,20
26,17,6,1,NA,NA,0,12,34,20,55,90,nan,20
26,18,4,1,0.434,51.246,0,12,34,20,55,180,4,20
26,19,3,1,0.467,54.845,0,12,34,20,55,90,nan,20
26,20,8,1,NA,NA,0,12,34,20,55,90,2,20
26,21,1,1,0.385,58.895,0,12,34,20,55,90,nan,20
26,22,3,1,0.434,61.011,0,12,34,20,55,180,4,20
26,23,2,1,0.401,64.544,0,12,34,20,55,180,nan,20
26,24,3,1,0.417,68.127,0,12,34,20,55,180,1,20
26,25,1,1,0.484,71.76,0,12,34,20,55,180,nan,20
26,26,7,1,NA,NA,0,12,34,20,55,180,4,20
26,27,1,1,0.384,78.792,0,12,34,20,55,90,4,20
26,28,1,1,0.451,80.925,0,12,34,20,55,180,nan,20
26,29,3,1,0.434,84.475,0,12,34,20,55,90,nan,20
26,30,8,1,NA,NA,0,12,34,20,55,90,7,20
