subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
24,1,3,1,0.551,1.119,0,12,34,20,55,90,nan,20
24,2,7,1,NA,NA,0,12,34,20,55,90,8,20
24,3,1,1,0.384,5.085,0,12,34,20,55,90,8,20
24,4,3,1,0.4,7.167,0,12,34,20,55,180,8,20
24,5,7,0,0.385,10.718,0,12,34,20,55,90,nan,20
24,6,8,1,NA,NA,0,12,34,20,55,180,6,20
24,7,1,1,0.368,16.333,0,12,34,20,55,90,3,20
24,8,2,1,0.485,18.517,0,12,34,20,55,180,1,20
24,9,8,1,NA,NA,0,12,34,20,55,180,nan,20
24,10,8,1,NA,NA,0,12,34,20,55,180,7,20
24,11,2,1,0.418,29.148,0,12,34,20,55,90,8,20
24,12,4,1,0.483,31.28,0,12,34,20,55,90,nan,20
24,13,6,1,NA,NA,0,12,34,20,55,90,1,20
24,14,1,1,0.535,35.464,0,12,34,20,55,180,nan,20
24,15,1,1,0.501,38.997,0,12,34,20,55,90,nan,20
24,16,4,1,0.433,40.997,0,12,34,20,55,180,7,20
24,17,8,1,NA,NA,0,12,34,20,55,90,nan,20
24,18,2,1,0.401,46.596,0,12,34,20,55,180,nan,20
24,19,3,1,0.484,50.245,0,12,34,20,55,90,nan,20
24,20,6,0,0.384,52.212,0,12,34,20,55,90,8,20
24,21,7,1,NA,NA,0,12,34,20,55,90,nan,20
24,22,6,1,NA,NA,0,12,34,20,55,90,nan,20
24,23,8,1,NA,NA,0,12,34,20,55,90,nan,20
24,24,2,1,0.534,60.627,0,12,34,20,55,180,nan,20
24,25,7,1,NA,NA,0,12,34,20,55,90,nan,20
24,26,8,1,NA,NA,0,12,34,20,55,180,nan,20
24,27,1,1,0.684,69.976,0,12,34,20,55,180,nan,20
24,28,8,1,NA,NA,0,12,34,20,55,90,2,20
24,29,4,1,0.6,75.525,0,12,34,20,55,90,4,20
24,30,8,1,NA,NA,0,12,34,20,55,90,7,20
