subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
16,1,2,1,0.834,1.503,0,12,34,20,55,90,7,20
16,2,8,1,NA,NA,0,12,34,20,55,180,nan,20
16,3,2,1,0.567,6.869,0,12,34,20,55,180,nan,20
16,4,3,1,0.65,10.518,0,12,34,20,55,180,1,20
16,5,7,1,NA,NA,0,12,34,20,55,90,4,20
16,6,6,1,NA,NA,0,12,34,20,55,90,nan,20
16,7,2,1,0.501,18.067,0,12,34,20,55,180,4,20
16,8,6,1,NA,NA,0,12,34,20,55,90,8,20
16,9,6,1,NA,NA,0,12,34,20,55,180,nan,20
16,10,7,1,NA,NA,0,12,34,20,55,180,nan,20
16,11,2,1,0.517,30.849,0,12,34,20,55,180,8,20
16,12,3,1,0.467,34.365,0,12,34,20,55,90,6,20
16,13,2,1,0.417,36.381,0,12,34,20,55,90,7,20
16,14,6,1,NA,NA,0,12,34,20,55,180,4,20
16,15,8,1,NA,NA,0,12,34,20,55,90,nan,20
16,16,1,1,0.467,44.13,0,12,34,20,55,180,nan,20
16,17,6,1,NA,NA,0,12,34,20,55,90,nan,20
16,18,4,1,0.518,49.813,0,12,34,20,55,180,nan,20
16,19,6,1,NA,NA,0,12,34,20,55,180,nan,20
16,20,3,1,0.384,56.812,0,12,34,20,55,180,6,20
16,21,8,1,NA,NA,0,12,34,20,55,180,nan,20
16,22,4,1,0.451,64.011,0,12,34,20,55,180,nan,20
16,23,7,1,NA,NA,0,12,34,20,55,90,nan,20
16,24,2,1,0.368,69.561,0,12,34,20,55,90,nan,20
16,25,1,1,0.385,71.644,0,12,34,20,55,180,nan,20
16,26,7,1,NA,NA,0,12,34,20,55,90,nan,20
16,27,6,1,NA,NA,0,12,34,20,55,180,2,20
16,28,3,1,0.385,80.842,0,12,34,20,55,180,8,20
16,29,7,1,NA,NA,0,12,34,20,55,90,8,20
16,30,4,1,0.4,86.491,0,12,34,20,55,180,7,20
