subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
18,1,8,1,NA,NA,0,12,34,20,55,180,nan,20
18,2,4,1,0.401,4.649,0,12,34,20,55,180,nan,20
18,3,6,1,NA,NA,0,12,34,20,55,90,8,20
18,4,2,1,0.268,10.149,0,12,34,20,55,90,nan,20
18,5,8,1,NA,NA,0,12,34,20,55,180,nan,20
18,6,6,1,NA,NA,0,12,34,20,55,180,7,20
18,7,2,1,0.335,19.415,0,12,34,20,55,90,3,20
18,8,3,1,0.435,21.581,0,12,34,20,55,90,nan,20
18,9,3,1,0.335,23.548,0,12,34,20,55,90,nan,20
18,10,6,1,NA,NA,0,12,34,20,55,180,nan,20
18,11,8,1,NA,NA,0,12,34,20,55,90,nan,20
18,12,2,1,0.267,31.18,0,12,34,20,55,90,6,20
18,13,2,1,0.35,33.329,0,12,34,20,55,90,nan,20
18,14,1,1,0.25,35.296,0,12,34,20,55,90,4,20
18,15,2,1,0.417,37.529,0,12,34,20,55,180,nan,20
18,16,2,1,0.268,40.945,0,12,34,20,55,90,2,20
18,17,6,1,NA,NA,0,12,34,20,55,90,nan,20
18,18,4,1,0.368,45.178,0,12,34,20,55,180,2,20
18,19,2,1,0.301,48.677,0,12,34,20,55,180,7,20
18,20,4,1,0.384,52.327,0,12,34,20,55,90,nan,20
18,21,6,1,NA,NA,0,12,34,20,55,90,nan,20
18,22,7,0,0.268,56.343,0,12,34,20,55,180,1,20
18,23,7,1,NA,NA,0,12,34,20,55,90,8,20
18,24,8,1,NA,NA,0,12,34,20,55,90,4,20
18,25,1,1,0.484,64.258,0,12,34,20,55,90,nan,20
18,26,7,1,NA,NA,0,12,34,20,55,90,7,20
18,27,7,1,NA,NA,0,12,34,20,55,90,6,20
18,28,1,1,0.884,70.858,0,12,34,20,55,90,nan,20
18,29,8,1,NA,NA,0,12,34,20,55,180,6,20
18,30,7,1,NA,NA,0,12,34,20,55,180,nan,20
