subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
104,1,1,1,0.517,1.162,0,12,34,20,55,90,nan,20
104,2,6,0,0.617,3.329,0,12,34,20,55,180,8,20
104,3,6,1,NA,NA,0,12,34,20,55,90,nan,20
104,4,4,1,0.618,8.962,0,12,34,20,55,90,1,20
104,5,7,1,NA,NA,0,12,34,20,55,180,nan,20
104,6,3,1,0.567,14.543,0,12,34,20,55,180,nan,20
104,7,1,1,0.584,18.126,0,12,34,20,55,180,1,20
104,8,2,1,0.518,21.626,0,12,34,20,55,180,nan,20
104,9,6,1,NA,NA,0,12,34,20,55,90,nan,20
104,10,8,1,NA,NA,0,12,34,20,55,180,nan,20
104,11,1,1,0.484,30.807,0,12,34,20,55,90,7,20
104,12,2,1,0.434,32.823,0,12,34,20,55,180,8,20
104,13,2,1,0.484,36.44,0,12,34,20,55,90,3,20
104,14,6,1,NA,NA,0,12,34,20,55,180,nan,20
104,15,2,1,0.534,42.122,0,12,34,20,55,90,nan,20
104,16,4,1,0.501,44.155,0,12,34,20,55,90,nan,20
104,17,8,1,NA,NA,0,12,34,20,55,90,6,20
104,18,6,1,NA,NA,0,12,34,20,55,180,7,20
104,19,7,1,NA,NA,0,12,34,20,55,180,8,20
104,20,3,1,0.517,55.436,0,12,34,20,55,90,4,20
104,21,6,1,NA,NA,0,12,34,20,55,90,nan,20
104,22,8,1,NA,NA,0,12,34,20,55,180,1,20
104,23,4,1,0.517,63.135,0,12,34,20,55,180,2,20
104,24,4,1,0.684,66.867,0,12,34,20,55,180,nan,20
104,25,8,1,NA,NA,0,12,34,20,55,90,nan,20
104,26,8,1,NA,NA,0,12,34,20,55,180,1,20
104,27,8,1,NA,NA,0,12,34,20,55,90,nan,20
104,28,3,1,0.651,78.099,0,12,34,20,55,90,6,20
104,29,6,1,NA,NA,0,12,34,20,55,180,nan,20
104,30,4,1,0.651,83.731,0,12,34,20,55,90,nan,20
