subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
24,1,8,1,NA,NA,0,12,34,20,55,90,3,20
24,2,8,1,NA,NA,0,12,34,20,55,180,nan,20
24,3,3,1,0.518,6.835,0,12,34,20,55,90,2,20
24,4,8,1,NA,NA,0,12,34,20,55,180,1,20
24,5,1,1,0.518,12.467,0,12,34,20,55,180,3,20
24,6,4,1,0.501,16.017,0,12,34,20,55,180,1,20
24,7,6,1,NA,NA,0,12,34,20,55,180,nan,20
24,8,2,1,0.451,23.099,0,12,34,20,55,90,nan,20
24,9,4,1,0.518,25.232,0,12,34,20,55,180,nan,20
24,10,6,1,NA,NA,0,12,34,20,55,180,8,20
24,11,1,1,0.484,32.331,0,12,34,20,55,90,1,20
24,12,4,1,0.651,34.565,0,12,34,20,55,90,nan,20
24,13,4,1,0.567,36.547,0,12,34,20,55,180,6,20
24,14,2,1,0.518,40.064,0,12,34,20,55,180,1,20
24,15,1,1,0.467,43.58,0,12,34,20,55,90,nan,20
24,16,6,1,NA,NA,0,12,34,20,55,90,6,20
24,17,1,1,0.349,47.595,0,12,34,20,55,90,nan,20
24,18,3,1,0.518,49.829,0,12,34,20,55,90,nan,20
24,19,7,1,NA,NA,0,12,34,20,55,180,nan,20
24,20,2,1,0.384,55.328,0,12,34,20,55,180,8,20
24,21,6,0,0.417,58.928,0,12,34,20,55,90,6,20
24,22,2,1,0.617,61.194,0,12,34,20,55,180,nan,20
24,23,8,1,NA,NA,0,12,34,20,55,180,nan,20
24,24,7,1,NA,NA,0,12,34,20,55,90,6,20
24,25,7,1,NA,NA,0,12,34,20,55,90,nan,20
24,26,6,1,NA,NA,0,12,34,20,55,180,nan,20
24,27,7,1,NA,NA,0,12,34,20,55,90,nan,20
24,28,7,1,NA,NA,0,12,34,20,55,180,4,20
24,29,2,1,0.417,81.458,0,12,34,20,55,90,nan,20
24,30,6,1,NA,NA,0,12,34,20,55,90,nan,20
