subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
9,1,1,1,0.418,1.102,0,12,34,20,55,180,nan,20
9,2,4,1,0.367,4.618,0,12,34,20,55,90,1,20
9,3,1,1,0.349,6.667,0,12,34,20,55,180,nan,20
9,4,2,1,0.302,10.185,0,12,34,20,55,90,nan,20
9,5,6,0,0.335,12.284,0,12,34,20,55,180,8,20
9,6,7,1,NA,NA,0,12,34,20,55,180,3,20
9,7,8,1,NA,NA,0,12,34,20,55,90,6,20
9,8,8,1,NA,NA,0,12,34,20,55,180,nan,20
9,9,3,1,0.434,25.149,0,12,34,20,55,180,8,20
9,10,2,1,0.351,28.632,0,12,34,20,55,90,8,20
9,11,2,1,0.418,30.765,0,12,34,20,55,90,nan,20
9,12,8,1,NA,NA,0,12,34,20,55,90,nan,20
9,13,3,1,0.351,34.831,0,12,34,20,55,90,nan,20
9,14,2,1,0.367,36.914,0,12,34,20,55,180,2,20
9,15,1,1,0.385,40.497,0,12,34,20,55,90,nan,20
9,16,8,1,NA,NA,0,12,34,20,55,180,nan,20
9,17,8,1,NA,NA,0,12,34,20,55,180,7,20
9,18,3,1,0.434,49.746,0,12,34,20,55,90,nan,20
9,19,6,1,NA,NA,0,12,34,20,55,90,nan,20
9,20,2,1,0.368,53.812,0,12,34,20,55,180,6,20
9,21,8,1,NA,NA,0,12,34,20,55,180,nan,20
9,22,8,1,NA,NA,0,12,34,20,55,180,nan,20
9,23,8,1,NA,NA,0,12,34,20,55,180,nan,20
9,24,6,1,NA,NA,0,12,34,20,55,180,4,20
9,25,2,1,0.418,71.693,0,12,34,20,55,180,6,20
9,26,7,1,NA,NA,0,12,34,20,55,180,1,20
9,27,1,1,0.401,78.808,0,12,34,20,55,180,nan,20
9,28,4,1,0.384,82.358,0,12,34,20,55,180,4,20
9,29,7,1,NA,NA,0,12,34,20,55,180,7,20
9,30,8,1,NA,NA,0,12,34,20,55,180,nan,20
