subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
16,1,6,1,NA,NA,0,12,34,20,55,180,nan,20
16,2,8,1,NA,NA,0,12,34,20,55,90,7,20
16,3,8,1,NA,NA,0,12,34,20,55,180,8,20
16,4,1,1,0.834,10.602,0,12,34,20,55,180,nan,20
16,5,4,1,0.768,14.102,0,12,34,20,55,180,nan,20
16,6,7,1,NA,NA,0,12,34,20,55,180,8,20
16,7,7,1,NA,NA,0,12,34,20,55,180,7,20
16,8,8,1,NA,NA,0,12,34,20,55,90,nan,20
16,9,3,1,0.585,26.683,0,12,34,20,55,180,7,20
16,10,7,1,NA,NA,0,12,34,20,55,90,nan,20
16,11,3,1,0.484,32.215,0,12,34,20,55,90,8,20
16,12,3,1,0.517,34.315,0,12,34,20,55,90,3,20
16,13,1,1,0.434,36.298,0,12,34,20,55,180,nan,20
16,14,7,1,NA,NA,0,12,34,20,55,90,1,20
16,15,8,1,NA,NA,0,12,34,20,55,90,8,20
16,16,8,1,NA,NA,0,12,34,20,55,90,nan,20
16,17,7,1,NA,NA,0,12,34,20,55,180,nan,20
16,18,7,1,NA,NA,0,12,34,20,55,180,nan,20
16,19,7,1,NA,NA,0,12,34,20,55,180,nan,20
16,20,1,1,0.467,56.794,0,12,34,20,55,90,1,20
16,21,8,1,NA,NA,0,12,34,20,55,180,3,20
16,22,3,1,0.583,62.543,0,12,34,20,55,90,nan,20
16,23,1,1,0.451,64.478,0,12,34,20,55,180,nan,20
16,24,2,1,0.384,67.977,0,12,34,20,55,180,6,20
16,25,4,1,0.484,71.644,0,12,34,20,55,180,nan,20
16,26,2,1,0.384,75.11,0,12,34,20,55,180,nan,20
16,27,4,1,0.418,78.709,0,12,34,20,55,180,nan,20
16,28,4,1,0.367,82.224,0,12,34,20,55,90,6,20
16,29,3,1,0.384,84.308,0,12,34,20,55,180,nan,20
16,30,6,1,NA,NA,0,12,34,20,55,90,7,20
