subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
14,1,7,1,NA,NA,0,12,34,20,55,90,nan,20
14,2,8,1,NA,NA,0,12,34,20,55,180,nan,20
14,3,7,1,NA,NA,0,12,34,20,55,90,nan,20
14,4,7,1,NA,NA,0,12,34,20,55,90,1,20
14,5,2,1,0.717,11.165,0,12,34,20,55,90,6,20
14,6,2,1,0.452,12.966,0,12,34,20,55,90,1,20
14,7,8,1,NA,NA,0,12,34,20,55,180,nan,20
14,8,2,1,0.4,18.548,0,12,34,20,55,90,7,20
14,9,7,1,NA,NA,0,12,34,20,55,180,nan,20
14,10,4,1,0.617,24.398,0,12,34,20,55,180,nan,20
14,11,8,1,NA,NA,0,12,34,20,55,90,nan,20
14,12,1,1,0.501,29.913,0,12,34,20,55,180,4,20
14,13,1,1,0.367,33.346,0,12,34,20,55,90,6,20
14,14,3,1,0.417,35.462,0,12,34,20,55,180,nan,20
14,15,2,1,0.367,38.978,0,12,34,20,55,180,nan,20
14,16,4,1,0.317,42.495,0,12,34,20,55,180,nan,20
14,17,8,1,NA,NA,0,12,34,20,55,180,3,20
14,18,3,1,0.35,49.659,0,12,34,20,55,180,nan,20
14,19,7,1,NA,NA,0,12,34,20,55,180,2,20
14,20,8,1,NA,NA,0,12,34,20,55,180,8,20
14,21,4,1,0.435,60.443,0,12,34,20,55,180,nan,20
14,22,2,1,0.351,63.925,0,12,34,20,55,90,6,20
14,23,2,1,0.318,65.959,0,12,34,20,55,90,nan,20
14,24,6,0,0.334,68.042,0,12,34,20,55,180,8,20
14,25,6,1,NA,NA,0,12,34,20,55,90,nan,20
14,26,6,1,NA,NA,0,12,34,20,55,180,6,20
14,27,4,1,0.351,77.257,0,12,34,20,55,90,nan,20
14,28,6,1,NA,NA,0,12,34,20,55,180,2,20
14,29,6,1,NA,NA,0,12,34,20,55,90,1,20
14,30,3,1,0.418,85.022,0,12,34,20,55,180,nan,20
