subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
20,1,3,1,1.086,1.652,0,12,34,20,55,180,4,20
20,2,7,1,NA,NA,0,12,34,20,55,90,nan,20
20,3,7,1,NA,NA,0,12,34,20,55,180,1,20
20,4,3,1,1.051,10.818,0,12,34,20,55,90,nan,20
20,5,1,1,1.084,12.918,0,12,34,20,55,180,8,20
20,6,7,1,NA,NA,0,12,34,20,55,180,3,20
20,7,1,1,0.966,19.931,0,12,34,20,55,180,nan,20
20,8,6,1,NA,NA,0,12,34,20,55,180,nan,20
20,9,2,1,0.851,26.949,0,12,34,20,55,90,nan,20
20,10,2,1,0.934,29.098,0,12,34,20,55,180,8,20
20,11,7,1,NA,NA,0,12,34,20,55,180,2,20
20,12,1,1,0.984,36.28,0,12,34,20,55,180,nan,20
20,13,6,1,NA,NA,0,12,34,20,55,90,nan,20
20,14,6,1,NA,NA,0,12,34,20,55,90,7,20
20,15,1,1,0.702,43.697,0,12,34,20,55,90,8,20
20,16,7,1,NA,NA,0,12,34,20,55,180,1,20
20,17,4,1,0.951,49.579,0,12,34,20,55,90,nan,20
20,18,6,1,NA,NA,0,12,34,20,55,90,6,20
20,19,2,1,0.933,53.694,0,12,34,20,55,180,1,20
20,20,1,1,0.917,57.244,0,12,34,20,55,180,nan,20
20,21,4,1,0.901,60.794,0,12,34,20,55,90,nan,20
20,22,7,1,NA,NA,0,12,34,20,55,90,1,20
20,23,3,1,0.751,64.777,0,12,34,20,55,180,7,20
20,24,1,1,1.068,68.66,0,12,34,20,55,180,nan,20
20,25,7,1,NA,NA,0,12,34,20,55,180,4,20
20,26,4,1,0.934,75.659,0,12,34,20,55,180,nan,20
20,27,8,1,NA,NA,0,12,34,20,55,90,nan,20
20,28,7,1,NA,NA,0,12,34,20,55,180,nan,20
20,29,7,1,NA,NA,0,12,34,20,55,90,nan,20
20,30,6,1,NA,NA,0,12,34,20,55,90,nan,20
