subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
22,1,1,1,1.585,2.152,0,12,34,20,55,180,nan,20
22,2,6,0,0.969,5.101,0,12,34,20,55,180,7,20
22,3,1,1,0.533,8.234,0,12,34,20,55,180,8,20
22,4,3,1,0.784,12.051,0,12,34,20,55,180,4,20
22,5,2,1,0.884,15.717,0,12,34,20,55,180,nan,20
22,6,3,1,0.534,18.933,0,12,34,20,55,180,nan,20
22,7,7,1,NA,NA,0,12,34,20,55,90,2,20
22,8,4,1,0.933,24.965,0,12,34,20,55,180,nan,20
22,9,6,1,NA,NA,0,12,34,20,55,90,6,20
22,10,8,1,NA,NA,0,12,34,20,55,90,nan,20
22,11,3,1,0.635,32.365,0,12,34,20,55,90,8,20
22,12,8,1,NA,NA,0,12,34,20,55,90,nan,20
22,13,3,1,0.734,36.597,0,12,34,20,55,90,3,20
22,14,7,1,NA,NA,0,12,34,20,55,180,nan,20
22,15,7,1,NA,NA,0,12,34,20,55,180,nan,20
22,16,6,1,NA,NA,0,12,34,20,55,90,2,20
22,17,7,1,NA,NA,0,12,34,20,55,90,nan,20
22,18,1,1,0.819,50.012,0,12,34,20,55,90,nan,20
22,19,7,1,NA,NA,0,12,34,20,55,180,nan,20
22,20,2,1,0.751,55.578,0,12,34,20,55,180,7,20
22,21,8,1,NA,NA,0,12,34,20,55,180,3,20
22,22,7,1,NA,NA,0,12,34,20,55,90,nan,20
22,23,1,1,0.883,64.909,0,12,34,20,55,180,nan,20
22,24,8,1,NA,NA,0,12,34,20,55,180,nan,20
22,25,3,1,0.717,71.876,0,12,34,20,55,90,8,20
22,26,2,1,0.668,73.892,0,12,34,20,55,180,nan,20
22,27,6,1,NA,NA,0,12,34,20,55,90,8,20
22,28,1,1,0.718,79.575,0,12,34,20,55,90,4,20
22,29,7,1,NA,NA,0,12,34,20,55,90,6,20
22,30,4,1,0.768,83.758,0,12,34,20,55,180,nan,20
