subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
104,1,6,1,NA,NA,0,12,34,20,55,90,7,20
104,2,1,1,0.984,3.618,0,12,34,20,55,90,nan,20
104,3,1,1,0.584,5.284,0,12,34,20,55,180,7,20
104,4,1,1,0.4,8.666,0,12,34,20,55,180,nan,20
104,5,8,0,0.067,11.899,0,12,34,20,55,90,2,20
104,6,8,1,NA,NA,0,12,34,20,55,180,nan,20
104,7,8,0,0.435,17.899,0,12,34,20,55,90,7,20
104,8,2,1,0.617,20.148,0,12,34,20,55,180,6,20
104,9,8,1,NA,NA,0,12,34,20,55,180,nan,20
104,10,2,1,0.501,27.163,0,12,34,20,55,180,nan,20
104,11,4,1,0.417,30.663,0,12,34,20,55,180,nan,20
104,12,3,1,0.534,34.345,0,12,34,20,55,90,7,20
104,13,3,1,0.451,36.328,0,12,34,20,55,90,6,20
104,14,7,0,0.435,38.379,0,12,34,20,55,90,nan,20
104,15,6,1,NA,NA,0,12,34,20,55,180,8,20
104,16,7,1,NA,NA,0,12,34,20,55,90,nan,20
104,17,2,1,0.417,46.06,0,12,34,20,55,90,nan,20
104,18,8,0,0.534,48.243,0,12,34,20,55,90,2,20
104,19,6,1,NA,NA,0,12,34,20,55,180,7,20
104,20,7,1,NA,NA,0,12,34,20,55,180,nan,20
104,21,4,1,0.85,57.758,0,12,34,20,55,180,2,20
104,22,8,1,NA,NA,0,12,34,20,55,180,8,20
104,23,2,1,0.501,64.54,0,12,34,20,55,180,nan,20
104,24,1,1,0.484,68.089,0,12,34,20,55,180,6,20
104,25,8,1,NA,NA,0,12,34,20,55,180,nan,20
104,26,6,1,NA,NA,0,12,34,20,55,90,nan,20
104,27,8,1,NA,NA,0,12,34,20,55,180,nan,20
104,28,1,1,0.501,80.871,0,12,34,20,55,180,nan,20
104,29,3,1,0.567,84.503,0,12,34,20,55,90,nan,20
104,30,2,1,0.567,86.57,0,12,34,20,55,90,1,20
