subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
37,1,3,1,0.884,1.451,0,12,34,20,55,90,1,20
37,2,3,1,1.134,3.767,0,12,34,20,55,90,nan,20
37,3,8,1,NA,NA,0,12,34,20,55,180,nan,20
37,4,7,1,NA,NA,0,12,34,20,55,90,nan,20
37,5,2,1,0.468,10.8,0,12,34,20,55,90,6,20
37,6,1,1,0.418,12.816,0,12,34,20,55,180,nan,20
37,7,6,1,NA,NA,0,12,34,20,55,90,4,20
37,8,7,1,NA,NA,0,12,34,20,55,180,8,20
37,9,6,1,NA,NA,0,12,34,20,55,90,8,20
37,10,8,1,NA,NA,0,12,34,20,55,90,8,20
37,11,4,1,0.702,26.431,0,12,34,20,55,90,nan,20
37,12,4,1,0.651,28.447,0,12,34,20,55,90,7,20
37,13,8,1,NA,NA,0,12,34,20,55,90,1,20
37,14,4,1,0.468,32.397,0,12,34,20,55,90,nan,20
37,15,6,1,NA,NA,0,12,34,20,55,180,3,20
37,16,8,1,NA,NA,0,12,34,20,55,180,6,20
37,17,4,1,0.418,41.545,0,12,34,20,55,180,nan,20
37,18,1,1,0.434,45.128,0,12,34,20,55,180,4,20
37,19,7,1,NA,NA,0,12,34,20,55,90,nan,20
37,20,1,1,0.467,50.794,0,12,34,20,55,180,nan,20
37,21,6,1,NA,NA,0,12,34,20,55,180,6,20
37,22,2,1,0.367,57.826,0,12,34,20,55,90,nan,20
37,23,1,1,0.417,59.942,0,12,34,20,55,90,nan,20
37,24,8,1,NA,NA,0,12,34,20,55,180,nan,20
37,25,3,1,0.451,65.609,0,12,34,20,55,90,4,20
37,26,4,1,0.417,67.642,0,12,34,20,55,180,4,20
37,27,8,1,NA,NA,0,12,34,20,55,180,nan,20
37,28,7,1,NA,NA,0,12,34,20,55,180,nan,20
37,29,2,1,0.351,78.274,0,12,34,20,55,90,nan,20
37,30,8,1,NA,NA,0,12,34,20,55,180,nan,20
