subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
102,1,3,1,0.751,1.423,0,12,34,20,55,180,nan,20
102,2,6,1,NA,NA,0,12,34,20,55,180,nan,20
102,3,4,1,0.617,8.421,0,12,34,20,55,180,3,20
102,4,6,1,NA,NA,0,12,34,20,55,90,nan,20
102,5,4,1,0.467,13.904,0,12,34,20,55,180,8,20
102,6,4,1,0.501,17.503,0,12,34,20,55,90,8,20
102,7,7,1,NA,NA,0,12,34,20,55,90,nan,20
102,8,2,1,0.416,21.551,0,12,34,20,55,90,3,20
102,9,7,1,NA,NA,0,12,34,20,55,180,6,20
102,10,6,1,NA,NA,0,12,34,20,55,180,nan,20
102,11,3,1,0.417,30.767,0,12,34,20,55,90,8,20
102,12,4,1,0.451,32.867,0,12,34,20,55,90,nan,20
102,13,8,1,NA,NA,0,12,34,20,55,90,3,20
102,14,2,1,0.433,36.982,0,12,34,20,55,90,nan,20
102,15,6,1,NA,NA,0,12,34,20,55,90,nan,20
102,16,1,1,0.434,41.116,0,12,34,20,55,90,nan,20
102,17,6,1,NA,NA,0,12,34,20,55,90,7,20
102,18,7,1,NA,NA,0,12,34,20,55,180,nan,20
102,19,7,1,NA,NA,0,12,34,20,55,180,3,20
102,20,2,1,0.434,52.38,0,12,34,20,55,90,7,20
102,21,7,1,NA,NA,0,12,34,20,55,180,nan,20
102,22,6,1,NA,NA,0,12,34,20,55,180,2,20
102,23,4,1,0.434,61.578,0,12,34,20,55,90,nan,20
102,24,2,1,0.417,63.628,0,12,34,20,55,180,nan,20
102,25,6,1,NA,NA,0,12,34,20,55,90,nan,20
102,26,2,1,0.401,69.244,0,12,34,20,55,90,nan,20
102,27,2,1,0.451,71.36,0,12,34,20,55,180,nan,20
102,28,6,1,NA,NA,0,12,34,20,55,180,7,20
102,29,8,1,NA,NA,0,12,34,20,55,180,8,20
102,30,4,1,0.434,82.042,0,12,34,20,55,180,4,20
