subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
28,1,1,1,0.35,0.95,0,12,34,20,55,90,nan,20
28,2,4,1,0.384,3.067,0,12,34,20,55,90,nan,20
28,3,8,1,NA,NA,0,12,34,20,55,90,6,20
28,4,6,1,NA,NA,0,12,34,20,55,90,nan,20
28,5,8,1,NA,NA,0,12,34,20,55,90,8,20
28,6,2,1,0.367,11.317,0,12,34,20,55,90,4,20
28,7,6,1,NA,NA,0,12,34,20,55,90,7,20
28,8,6,1,NA,NA,0,12,34,20,55,180,nan,20
28,9,1,1,0.384,19.033,0,12,34,20,55,90,3,20
28,10,6,1,NA,NA,0,12,34,20,55,180,nan,20
28,11,1,1,0.35,24.633,0,12,34,20,55,90,nan,20
28,12,1,1,0.384,26.733,0,12,34,20,55,180,1,20
28,13,8,1,NA,NA,0,12,34,20,55,180,nan,20
28,14,7,1,NA,NA,0,12,34,20,55,90,3,20
28,15,1,1,0.417,35.983,0,12,34,20,55,180,nan,20
28,16,1,1,0.5,39.633,0,12,34,20,55,180,nan,20
28,17,1,1,0.384,43.083,0,12,34,20,55,90,nan,20
28,18,1,1,0.384,45.149,0,12,34,20,55,90,4,20
28,19,4,1,0.55,47.382,0,12,34,20,55,180,nan,20
28,20,6,1,NA,NA,0,12,34,20,55,90,6,20
28,21,8,1,NA,NA,0,12,34,20,55,90,nan,20
28,22,3,1,0.5,55.032,0,12,34,20,55,90,1,20
28,23,6,1,NA,NA,0,12,34,20,55,180,7,20
28,24,7,1,NA,NA,0,12,34,20,55,180,7,20
28,25,8,1,NA,NA,0,12,34,20,55,90,nan,20
28,26,6,1,NA,NA,0,12,34,20,55,180,2,20
28,27,7,1,NA,NA,0,12,34,20,55,180,nan,20
28,28,2,1,0.367,73.382,0,12,34,20,55,180,nan,20
28,29,1,1,0.367,76.948,0,12,34,20,55,180,6,20
28,30,1,1,0.367,80.515,0,12,34,20,55,180,nan,20
