subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
20,1,6,0,0.8,1.484,0,12,34,20,55,90,4,20
20,2,8,0,0.467,3.218,0,12,34,20,55,90,nan,20
20,3,4,1,0.733,5.551,0,12,34,20,55,180,nan,20
20,4,7,1,NA,NA,0,12,34,20,55,180,8,20
20,5,2,1,0.801,12.75,0,12,34,20,55,180,nan,20
20,6,7,1,NA,NA,0,12,34,20,55,90,2,20
20,7,4,1,0.884,18.466,0,12,34,20,55,90,nan,20
20,8,7,1,NA,NA,0,12,34,20,55,90,7,20
20,9,4,1,0.8,22.516,0,12,34,20,55,90,7,20
20,10,6,1,NA,NA,0,12,34,20,55,180,8,20
20,11,7,1,NA,NA,0,12,34,20,55,180,6,20
20,12,3,1,0.901,31.815,0,12,34,20,55,90,nan,20
20,13,2,1,1.167,34.147,0,12,34,20,55,180,nan,20
20,14,7,1,NA,NA,0,12,34,20,55,180,nan,20
20,15,2,1,0.834,40.947,0,12,34,20,55,90,nan,20
20,16,6,1,NA,NA,0,12,34,20,55,90,2,20
20,17,3,1,1.017,45.263,0,12,34,20,55,90,8,20
20,18,2,1,1.234,47.544,0,12,34,20,55,90,1,20
20,19,6,1,NA,NA,0,12,34,20,55,180,nan,20
20,20,3,1,1.268,53.212,0,12,34,20,55,90,6,20
20,21,6,1,NA,NA,0,12,34,20,55,180,nan,20
20,22,7,1,NA,NA,0,12,34,20,55,90,2,20
20,23,1,1,0.818,60.461,0,12,34,20,55,90,nan,20
20,24,4,1,0.967,62.677,0,12,34,20,55,180,2,20
20,25,2,1,1.033,66.309,0,12,34,20,55,180,nan,20
20,26,8,1,NA,NA,0,12,34,20,55,180,nan,20
20,27,7,1,NA,NA,0,12,34,20,55,90,nan,20
20,28,1,1,0.901,75.392,0,12,34,20,55,180,nan,20
20,29,4,1,0.984,79.042,0,12,34,20,55,180,nan,20
20,30,8,1,NA,NA,0,12,34,20,55,180,1,20
