subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
38,1,8,1,NA,NA,0,12,34,20,55,180,nan,20
38,2,8,1,NA,NA,0,12,34,20,55,180,7,20
38,3,1,1,0.932,8.724,0,12,34,20,55,90,1,20
38,4,7,1,NA,NA,0,12,34,20,55,180,2,20
38,5,6,1,NA,NA,0,12,34,20,55,180,8,20
38,6,6,1,NA,NA,0,12,34,20,55,180,nan,20
38,7,8,1,NA,NA,0,12,34,20,55,90,8,20
38,8,1,1,0.45,23.034,0,12,34,20,55,180,7,20
38,9,1,1,0.432,26.574,0,12,34,20,55,90,2,20
38,10,2,1,0.383,28.585,0,12,34,20,55,90,nan,20
38,11,2,1,0.349,30.613,0,12,34,20,55,180,nan,20
38,12,2,1,0.482,34.302,0,12,34,20,55,90,nan,20
38,13,3,1,0.466,36.348,0,12,34,20,55,180,nan,20
38,14,4,1,0.449,39.887,0,12,34,20,55,180,nan,20
38,15,8,1,NA,NA,0,12,34,20,55,180,nan,20
38,16,7,1,NA,NA,0,12,34,20,55,180,1,20
38,17,6,1,NA,NA,0,12,34,20,55,90,nan,20
38,18,4,1,0.499,52.669,0,12,34,20,55,90,8,20
38,19,3,1,0.483,54.713,0,12,34,20,55,180,nan,20
38,20,4,1,0.468,58.256,0,12,34,20,55,90,4,20
38,21,7,1,NA,NA,0,12,34,20,55,180,nan,20
38,22,7,1,NA,NA,0,12,34,20,55,180,nan,20
38,23,8,1,NA,NA,0,12,34,20,55,90,nan,20
38,24,7,1,NA,NA,0,12,34,20,55,90,nan,20
38,25,2,1,0.382,71.467,0,12,34,20,55,180,nan,20
38,26,3,1,0.432,75.075,0,12,34,20,55,180,8,20
38,27,8,1,NA,NA,0,12,34,20,55,180,nan,20
38,28,2,1,0.598,82.355,0,12,34,20,55,180,7,20
38,29,4,1,0.432,85.746,0,12,34,20,55,90,4,20
38,30,8,1,NA,NA,0,12,34,20,55,90,8,20
