subid,ntrial,estim,correct,response_time,cumulative_response_time,fixation_onset,fixation_dur,stim_onset,stim_dur,response_onset,response_dur,id_distrac,dist_dur
7,1,8,1,NA,NA,0,12,34,20,55,90,nan,20
7,2,8,1,NA,NA,0,12,34,20,55,90,nan,20
7,3,4,0,NA,NA,0,12,34,20,55,180,6,20
7,4,2,1,0.483,8.726,0,12,34,20,55,90,nan,20
7,5,6,1,NA,NA,0,12,34,20,55,90,nan,20
7,6,6,1,NA,NA,0,12,34,20,55,180,nan,20
7,7,1,1,0.432,16.355,0,12,34,20,55,180,8,20
7,8,1,1,0.633,20.113,0,12,34,20,55,90,nan,20
7,9,7,1,NA,NA,0,12,34,20,55,90,nan,20
7,10,7,1,NA,NA,0,12,34,20,55,180,nan,20
7,11,1,1,0.832,27.99,0,12,34,20,55,180,2,20
7,12,3,1,0.533,31.249,0,12,34,20,55,180,4,20
7,13,1,1,0.4,34.672,0,12,34,20,55,180,1,20
7,14,6,1,NA,NA,0,12,34,20,55,90,6,20
7,15,3,1,0.516,40.407,0,12,34,20,55,180,6,20
7,16,8,1,NA,NA,0,12,34,20,55,90,4,20
7,17,1,1,0.534,46.042,0,12,34,20,55,90,nan,20
7,18,1,1,0.599,48.169,0,12,34,20,55,90,nan,20
7,19,7,1,NA,NA,0,12,34,20,55,180,nan,20
7,20,2,1,0.45,53.637,0,12,34,20,55,180,8,20
7,21,3,1,0.501,57.245,0,12,34,20,55,90,2,20
7,22,8,1,NA,NA,0,12,34,20,55,180,nan,20
7,23,7,1,NA,NA,0,12,34,20,55,90,2,20
7,24,8,1,NA,NA,0,12,34,20,55,90,2,20
7,25,6,1,NA,NA,0,12,34,20,55,90,nan,20
7,26,7,1,NA,NA,0,12,34,20,55,90,7,20
7,27,4,1,0.615,71.222,0,12,34,20,55,90,nan,20
7,28,1,1,0.765,73.432,0,12,34,20,55,90,7,20
7,29,3,1,0.582,75.311,0,12,34,20,55,90,nan,20
7,30,8,1,NA,NA,0,12,34,20,55,90,nan,20
